MaxT,MinT,WindSpeed,Humidity 
37.1,28.5,2.6,52.9
37.2,27.5,2.2,50.9
36.7,27.5,2.4,56.8
36.6,27.9,2.3,57.4
35.4,26,2.5,61.9
36,26.8,2.3,61.1
36.3,26.9,2.2,60.2
36.9,28,2.2,57
38,28.5,3.2,52.4
37.3,28.4,3.2,47.5
41.1,29.2,3.2,49.1
39.5,29.5,3.7,49.2
38.8,29.7,3.3,56.2
38,30,3.4,43.8
37.7,29.5,3.4,46.6
41.9,29.3,4.5,48.7
42.2,30.1,4.2,46
42.4,30.6,3.8,46.4
41.3,30.7,3.6,45.5
40.1,30.5,4,44.9
42.3,31,3.3,51.5
42.6,31.3,3.8,51.2
43.2,30.5,4,52.2
42.4,30.3,3.7,55.5
41,27.8,3.8,50.5
37.3,27,2.9,50.5
38.8,28.8,3.3,51.4
39.8,30,3.3,53.4
38.6,29.2,3.2,49.9
39.4,28.8,3.8,45.9
37.6,28.8,3.3,51.5
38.2,29,2.6,52.2
38.3,29.6,2.3,51.5
37.8,28.7,2.6,48.5
38.5,29.6,3.1,56.8
38.6,30.5,2.8,54.8
40.4,29.2,3.6,48.3
33.9,28.4,3.4,50.7
39.7,28.3,3,57.3
33.6,26.7,4.2,69.4
35.7,27,2.9,65
37.8,28.8,3.4,63.5
38.9,27,4.1,61.2
35.8,27.3,3.2,58.7
37.9,29.2,2.8,57.3
35.8,28.9,2.3,65.5
34.6,28.7,2,70.7
34.8,28.7,2.2,72.7
36,28.8,3,69.4
37,27.9,3.6,67.4
38.5,28.8,3.7,68.8
36,27.3,3.3,65.6
34,28.7,2.7,77.1
31.9,26.9,3.4,77.9
29.2,26.2,4.3,67.9
30.3,26.7,4.3,69.4
32,26.6,3.4,74.7
33,27,4.2,82.6
29.3,25.6,3.8,74.7
27.7,25.3,4.4,76.8
28.2,25.5,4.5,81.5
28.4,25.1,4.7,76.8
31,26.9,4.6,74.9
33.6,27.5,4.4,67.5
34.2,28,4.6,73.4
35,28,4.9,59.3
35.5,28.3,5,57.7
35.6,27.7,4.9,62.9
34.7,29.1,4.8,59.1
33.3,27.3,5.7,76.2
35,27.2,5.1,68.3
34.7,26.6,4,74.4
34.2,26.7,3.7,71.9
34.3,27.2,3.6,78.3
33.2,26.2,3.9,79.3
31.4,26.2,4.4,76.2
32.2,26.6,4.1,79.7
32.3,26.3,3.8,69.2
32.3,26.2,3.3,81.8
33.6,26.9,3.2,80
35.1,27.7,3,72.3
35.6,28.1,2.8,73.9
33.6,27.8,2.5,76.5
33.1,25.7,2.3,75.6
33.9,26.8,2.8,82.9
32.3,26.2,1.9,78.3
33.3,26.8,2.2,78.7
33,27,2.4,76.5
33.4,27.2,1.7,77.4
33.8,27.5,2.2,71.1
32.1,27.1,2.4,82.7
33.8,26.2,2.2,86
33.1,26.1,1.7,83.4
33.2,27.2,1.6,87
34,25.9,2.5,81.2
31.4,26.1,2.8,79.5
29,25.8,3.1,81.2
30,25.7,3.5,80.4
30.7,25.9,3.7,80.8
29.1,26.1,4.9,80
31.6,25.9,5.4,73.1
33.3,27,4.5,73.1
34.1,27,3.7,71.2
34.1,27.9,3.7,66.7
31.1,27.4,4.6,75.2
31.3,25.8,3.7,80.9
31.6,26.2,3.9,81.2
34.7,27.1,4.2,73.1
34.9,27.7,3,71.8
34.6,27.5,3.1,75.7
34.3,26.8,2.8,72.5
31.2,26.3,3.6,81.3
34.2,26,3.2,79.4
35.3,26.5,3,79.2
33.6,26.9,2.9,78.3
32.3,26,2.5,78.9
34.2,26.4,2.7,76.1
32.3,25.3,2.2,78.7
32.9,26.3,1.9,80.5
33.6,26.9,1.6,78
32,26.2,1.7,79.2
33.2,26.6,2.7,78.6
30.7,25.5,1.7,85
32.3,25.6,2.3,85.3
30.6,25.3,3,83.7
29.7,25.6,2.6,79.8
29.2,25.6,2.4,80.4
32.6,26.1,3,75.3
32.9,27.2,3.4,72.3
31.4,25.8,3.3,81.5
30.4,24.9,3.4,80.5
32.1,27,2.8,79.2
33.6,27,2,75.6
33.5,27.3,1.7,79.4
33.9,27.1,1.4,80.5
33.6,27,1.7,75.2
